Bloque,Pregunta,A,B,C,D,Correcta
1,¿Cuál de las siguientes fue una de las principales causas de la Revolución Francesa?,El éxito de la Revolución Industrial.,El malestar de las clases bajas debido a la desigualdad social y económica.,La invasión de Francia por Prusia.,La conquista de territorios coloniales en América.,B
1,¿Qué evento marcó el inicio simbólico de la Revolución Francesa en 1789?,La ejecución de Luis XVI.,La toma de la Bastilla.,La proclamación del Imperio Napoleónico.,La Declaración de los Derechos del Hombre y del Ciudadano.,B
1,"¿Qué documento, adoptado en 1789, proclamó los derechos fundamentales de los ciudadanos franceses?",El Contrato Social.,La Declaración de Independencia.,La Declaración de los Derechos del Hombre y del Ciudadano.,La Constitución de 1791.,C
1,¿Quién fue Robespierre y cuál fue su papel en la Revolución?,Un líder militar que derrotó a las monarquías europeas.,Un filósofo cuyas ideas inspiraron la Revolución.,Un político revolucionario que lideró el período conocido como el Reino del Terror.,Un rey que intentó reformar el sistema feudal.,C
1,¿Cuál fue una de las principales consecuencias a corto plazo de la Revolución Francesa?,La abolición de la monarquía absoluta.,La expansión de las colonias francesas.,El establecimiento de un imperio mundial.,La independencia de los Estados Unidos.,A
1,"¿Qué simboliza el lema 'Libertad, Igualdad, Fraternidad'?",Los ideales de la Revolución Industrial.,Los valores fundamentales promovidos por la Revolución Francesa.,La estrategia militar utilizada durante las guerras napoleónicas.,Los principios del antiguo régimen francés.,B
1,¿Qué rol jugó la Asamblea Nacional en la Revolución Francesa?,Fue un grupo de nobles que protegió la monarquía.,Fue un órgano que escribió la Constitución y abolió los privilegios feudales.,Fue una alianza militar contra las naciones vecinas.,Fue una organización religiosa que promovió reformas.,B
1,¿Qué medida fue adoptada durante el Reino del Terror para proteger la Revolución?,La disolución de la Asamblea Nacional.,El aumento de impuestos a los campesinos.,Las ejecuciones masivas de quienes se consideraban enemigos de la Revolución.,La restauración de la monarquía.,C
1,¿Qué impacto tuvo la Revolución Francesa en el resto del mundo?,Inspiró movimientos independentistas y revolucionarios en otros países.,Provocó el colapso de la economía mundial.,Incrementó la influencia de la monarquía francesa.,Eliminó el feudalismo en todas partes de Europa.,A
1,¿Qué representó el Código Civil Napoleónico en relación con los ideales de la Revolución?,Una vuelta al sistema feudal.,La consolidación de los derechos de propiedad y la igualdad ante la ley.,La abolición de todas las reformas revolucionarias.,El fin del sistema jurídico en Francia.,B
,,,,,,
2,¿Cuál es el río más largo del mundo?,El Nilo.,El Amazonas.,El Yangtsé.,El Mississippi.,B
2,¿Qué continente tiene el mayor número de países?,Asia.,África.,Europa.,América.,B
2,¿En qué hemisferio se encuentra la mayor parte del continente africano?,Hemisferio norte.,Hemisferio sur.,Hemisferio oriental.,Hemisferio occidental.,A
2,¿Cuál es la capital de Australia?,Sídney.,Melbourne.,Canberra.,Brisbane.,C
2,¿Qué océano es el más extenso del planeta?,El Atlántico.,El Índico.,El Pacífico.,El Ártico.,C
2,¿Qué país tiene la mayor cantidad de islas en el mundo?,Indonesia.,Suecia.,Canadá.,Filipinas.,C
2,¿Cuál es el desierto más grande del mundo?,El desierto del Sáhara.,El desierto de Gobi.,La Antártida.,El desierto de Atacama.,C
2,¿Qué cordillera es la más larga del mundo?,Los Andes.,El Himalaya.,Las Montañas Rocosas.,Los Alpes.,A
2,¿Qué país es el más poblado del mundo?,India.,China.,Estados Unidos.,Indonesia.,B
2,¿Qué característica define a un clima mediterráneo?,Altas precipitaciones durante todo el año.,Inviernos secos y veranos húmedos.,"Veranos cálidos y secos, e inviernos suaves y húmedos.",Temperaturas extremas durante todo el año.,C
,,,,,,
3,¿Cuál es la unidad básica de la vida?,El átomo.,La molécula.,La célula.,El tejido.,C
3,¿Qué tipo de organismo realiza la fotosíntesis?,Animales.,Hongos.,Plantas.,Bacterias exclusivamente.,C
3,¿Qué molécula transporta la información genética?,ARN.,Proteína.,ADN.,Lípido.,C
3,¿Cómo se llama el proceso por el cual las células se dividen para formar dos células hijas idénticas?,Meiosis.,Mitosis.,Fisión binaria.,Reproducción sexual.,B
3,¿Qué grupo de organismos se caracteriza por ser procariontes?,Animales.,Bacterias.,Plantas.,Hongos.,B
3,¿Qué órgano del cuerpo humano es responsable de filtrar los desechos de la sangre?,El corazón.,El hígado.,El riñón.,El páncreas.,C
3,¿Qué biomolécula es la principal fuente de energía para los organismos vivos?,Lípidos.,Proteínas.,Carbohidratos.,Ácidos nucleicos.,C
3,¿Cómo se llaman las estructuras en las células vegetales que llevan a cabo la fotosíntesis?,Mitocondrias.,Cloroplastos.,Ribosomas.,Núcleos.,B
3,¿Qué tipo de reproducción requiere la unión de gametos masculinos y femeninos?,Asexual.,Sexual.,Fisión binaria.,Partenogénesis.,B
3,¿Qué sistema del cuerpo humano transporta oxígeno y nutrientes a las células?,Sistema digestivo.,Sistema nervioso.,Sistema circulatorio.,Sistema excretor.,C
